,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,30.69,30.69,0.000,,,,0.00000,60.0,
,A02,SYBR,,Unkn,,,31.13,31.13,0.000,,,,0.00000,60.0,
,A03,SYBR,,Unkn,,,27.74,27.74,0.000,,,,0.00000,60.0,
,A04,SYBR,,Unkn,,,27.55,27.55,0.000,,,,0.00000,60.0,
,A05,SYBR,,Unkn,,,37.30,37.30,0.000,,,,0.00000,60.0,
,A06,SYBR,,Unkn,,,37.09,37.09,0.000,,,,0.00000,60.0,
,A07,SYBR,,Unkn,,,34.42,34.42,0.000,,,,0.00000,60.0,
,A08,SYBR,,Unkn,,,34.03,34.03,0.000,,,,0.00000,60.0,
,A09,SYBR,,Unkn,,,29.32,29.32,0.000,,,,0.00000,60.0,
,A10,SYBR,,Unkn,,,29.49,29.49,0.000,,,,0.00000,60.0,
,A11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,SYBR,,Unkn,,,32.18,32.18,0.000,,,,0.00000,60.0,
